rank,passer,passes,mean_epa,avg_ayoe,posteam,headshot_url,avg_eay,team_color,team_color2,team_logo_espn
15,K.Murray,549,0.147612149,0.158640081,ARI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3917315.png,7.058998263,#97233f,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/ari.png
11,M.Ryan,624,0.20587805,0.391677115,ATL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11237.png,7.320627457,#a71930,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/atl.png
8,L.Jackson,373,0.259293794,0.67265465,BAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3916387.png,7.294275602,#241773,#000000,https://a.espncdn.com/i/teamlogos/nfl/500/bal.png
4,J.Allen,572,0.354750496,0.862585954,BUF,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3918298.png,6.976388235,#00338d,#c60c30,https://a.espncdn.com/i/teamlogos/nfl/500/buf.png
26,T.Bridgewater,492,0.163327572,-0.881859675,CAR,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16728.png,7.275740318,#0085ca,#000000,https://a.espncdn.com/i/teamlogos/nfl/500-dark/car.png
17,M.Trubisky,296,0.21568727,-0.000495434,CHI,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3039707.png,7.236919801,#0b162a,#c83803,https://a.espncdn.com/i/teamlogos/nfl/500/chi.png
9,J.Burrow,400,0.228488643,0.636320664,CIN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3915511.png,7.262206232,#000000,#fb4f14,https://a.espncdn.com/i/teamlogos/nfl/500/cin.png
10,B.Mayfield,487,0.255505092,0.576522049,CLE,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3052587.png,7.119368808,#fb4f14,#22150c,https://a.espncdn.com/i/teamlogos/nfl/500/cle.png
27,A.Dalton,333,0.070410416,-0.98526158,DAL,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14012.png,7.26894574,#002244,#b0b7bc,https://a.espncdn.com/i/teamlogos/nfl/500/dal.png
7,D.Lock,442,0.00454814,0.716749439,DEN,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3924327.png,7.359475785,#002244,#fb4f14,https://a.espncdn.com/i/teamlogos/nfl/500/den.png
6,M.Stafford,522,0.221375046,0.743117508,DET,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/12483.png,7.37589428,#005a8b,#b0b7bc,https://a.espncdn.com/i/teamlogos/nfl/500/det.png
16,A.Rodgers,525,0.400431026,0.059318836,GB,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8439.png,6.960847822,#203731,#ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/gb.png
2,D.Watson,544,0.355926603,0.991080095,HOU,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3122840.png,7.149990454,#03202f,#a71930,https://a.espncdn.com/i/teamlogos/nfl/500/hou.png
24,P.Rivers,541,0.234963661,-0.800280756,IND,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5529.png,7.243410523,#002c5f,#a5acaf,https://a.espncdn.com/i/teamlogos/nfl/500/ind.png
21,G.Minshew II,326,0.230944984,-0.376534511,JAX,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/4038524.png,7.420111433,#000000,#006778,https://a.espncdn.com/i/teamlogos/nfl/500/jax.png
12,P.Mahomes,589,0.35161675,0.381546966,KC,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3139477.png,6.941286591,#e31837,#ffb612,https://a.espncdn.com/i/teamlogos/nfl/500/kc.png
29,J.Goff,549,0.138365737,-1.4543953,LA,https://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3046779.png,7.292717257,#002244,#b3995d,https://a.espncdn.com/i/teamlogos/nfl/500/lar.png
